k,auc,recall,precision
5,0.5878129543982352,0.5592705167173252,0.38493723849372385
8,0.5845831880013952,0.5501519756838906,0.3731958762886598
11,0.5856250481294081,0.5531914893617021,0.38155136268343814
14,0.5853306093975783,0.5501519756838906,0.3778705636743215
17,0.5839761912311616,0.547112462006079,0.379746835443038
